P18	CDKN2C
TRPV2	proteins
ARNTL2	ARNTL, NPAS2, ARNTL
TRPV4	CMKLR1, GPR32, FPR2, MAP7, LYN
TRPM8	TRPV1, TRPV1, TRPV1, TRPV1, TRPV1, WS-3
TRPV3	TRPV1, CMKLR1, GPR32, FPR2
IMPA	IMPA1
CDKN1B	p21, pRb, AKT1, CKS1B, NUP50, SKP2, SPDYA, XPO1, P21
RAC1	GLUT4, NEDD9, DOCK3, GLUT4, ARFIP2, ARHGDIA, BAIAP2, FHOD1, FMNL1, IQGAP1, IQGAP2, NCKAP1, PAK1, PAK3, PARD6A, PARD6B, STAT3
RELA	NFKB1, NFKB2, NFKB1, NFKB2, REL, RELB, RPS6KA5, GSK3B, EP300, CHUK, APBA2, ASCC3, BRCA1, c-Jun, C22orf25, CDK9, CEBPB, CEBPE, CSNK2A2, DHX9, EP300, ETHE1, GCN5L2, HDAC1, HDAC3, ING4, KLF5, MDM2, MEN1, RPS6KA5, MTPN, NFKB1, NFKB2, NFKBIB, NFKBIE, PARP1, PDLIM2, PIAS3, PIM1, PIN1, POU2F1, PPP1R13L, REL, RFC1, RNF25, SIRT1, STAT3, TAF4B, TP53, TRIB3
TRPC4AP	TNFRSF1A
CSNK1E	PER1, AXIN1, CSNK1D
PER1	PER2, CLOCK, BMAL1, CRY1, CRY2, CHEK2, PER2, PER3
MAPK14	MAPK11, MAPK12, MAPK13, ATF2, MEF2C, AKT1, CDC25B, CDC25C, DUSP10, DUSP16, DUSP1, MAP2K6, MAP3K7IP1, MAPK1, MAPKAPK2, MAPKAPK3, RPS6KA4, ZFP36L1
TRPM7	PLCB1, PLCB2
TRPV5	S100A10
FYN	FYB, YES1, CD117, ADD2, BCAR1, CBLC, CD36, CD44, CHRNA7, CTNND1, DLG4, EPHA8, FYB, GNB2L1, GRIN2A, KHDRBS1, LKB1, PAG1, PIK3R2, PRKCQ, PTK2B, PTK2, PTPRT, SH2D1A, SKAP1, TNK2, TRPC6, ZAP-70
MMP2	ALCAM, MMP-9, MMP-9, MT1-MMP, MMP-9, MMP-9, MMP-9, VEGF, VEGF, CCL7, THBS2, TIMP2, TIMP4
SOD1	homodimer, SOD2, Bcl-2
PSEN1	PSEN2, Bcl-2, CTNND1, FLNB, ICAM5, PKP4, UBQLN1
MAPK3	IRAK1, DUSP3, DUSP6, GTF2I, HDAC4, MAP2K1, MAP2K2, PTPN7, RPS6KA2, SPIB
PRKCD	C1QBP, MUC1, PLD2, PTPN6, PTPRM, RASGRP3, SHC1, STAT1
PRKACA	DNAJB1, Hsp40
BCRP	ABCG2
TEAD2	TEAD1, TEAD1, TEAD3, TEAD4
UBF	UBTF
BMAL1	ARNTL
LCHAD	HADHA
GJA1	MAPK7, CSNK1D, PTPRM
CDKN1A	P21
RHOA	ROCK1, DIAPH1, LINGO1, p75, cofilin, ARHGAP1, ARHGAP5, ARHGDIA, ARHGEF11, ARHGEF12, ARHGEF3, DGKQ, DIAPH1, GEFT, ITPR1, KCNA2, KTN1, PKN2, PLCG1, RAP1GDS1, ROCK1, TRPC1
GSK3B	GSK3A, MAPK3, KIAA1211L, AKAP11, AXIN1, AXIN2, DNM1L, MACF1, MUC1, NOTCH1, NOTCH2, P53, PRKAR2A, SGK3, TSC2
LYN	CD40, CD19, PLCG2, CD22, FCGR2B, INPP5D, PTPN6, BCAR1, CD117, CD22, DOK1, GPVI, INPP5D, IRS1, MUC1, NEDD9, PLCG2, PPP1R15A, PTPRC, TRPV4
PIK3R1	ADAM12, BCAR1, CD117, CD28, CD7, CENTG1, ERBB3, FCGR2A, GAB1, GAB2, HRAS, IRS1, IRS2, KHDRBS1, PTK2, TUBA1B, TYRO3, VAV1
MAP4K1	CRKL, GRAP2, NCK1
TLR8	TLR7
TLR9	RNF216
TMEM142A	ORAI1
E2F1	ARID3A, CUL1, GTF2H1, MDM4, NCOA6, NPDC1, PURA, SKP2, TFDP1, TOPBP1, TP53BP1
HLA-G	HLA-A, HLA-B, KIR2DL4, CD8A
PTK2	PYK2, FLNA, TNS1, KRAS, BCAR1, CD61, FYN, GIT1, GRB7, IRS1, MAPK8IP3, NCK1, NCK2, NEDD9, NEO1, P53, PIK3R1, RB1CC1, STAT1, TGFB1I1, TLN1, TSC2, YAP1
MAPK8	DUSP10, DUSP1, DUSP22, GSTP1, IRS1, MAP2K4, MAP2K7, MAP3K1, MAP3K2, MAPK8IP1, MAPK8IP3, REL, SH3BP5, SPIB
IFPS	DOS
IRS1	IRS2, IRS4, AKT, CUL7, Bcl-2, MAPK8, PIK3R1, PIK3R3, PTK2, PTPN11, PTPN1, YWHAE, GRB2, SOS1, IRS2
NXF1	NXT1, TNPO2, MAGOH, DHX9, NUP214
MFN2	MFN1, OPA1
C-Kit	CD117
STIM1	ORAI1, ORAI1, TMEM66, STIM2
TNFSF10	TRAIL
EEF-2	EEF2
EEF-1	EF-Tu, EEF1A1, EEF1A2, EEF1A1P43, EEF1B2P1, EEF1B2, EEF1B2P2, EEF1B2P3, EEF1D, EEF1E1, EEF1G
PAK1	p21, PAK2, PAK3, PAK4, CDC42, MMP9, ARHGEF2, ARPC1B, CDC42, DYNLL1, LIMK1, NCK1, PAK1IP1, RAC1
POLR2A	polymerase, BRCA1, CTDP1, GTF2F1, GTF2H4, MED21, MED26, PCAF, POLR2C, POLR2E, POLR2H, POLR2L, PQBP1, SMARCA2, SMARCA4, SMARCB1, SMYD3, SND1, SUPT5H, TAF11, TCEA1, ZNF74
SOD2	CREB, NFE2L2
HSPA1A	AUF1, XIAP, AIFM1, XIAP, AIFM1, ASK1, BAG3, GPR37, HSF1, MSR1, PARP1, STUB1, XRCC1
MMP14	MMP2, TIMP2, ARK5
MAP2K1	MAP2K1IP1, GRB10, MAPK3, MAPK8IP3, MAPK1, MAP3K1
TCF1	HNF1A
YWHAZ	CBY, NOXA, MCL1, ATG9A, Vps34, IRS1, STAT3, IRS1, ATG9A, NOXA, AKT1, BCAR1, CDC25B, GP1BA, GP1BB, HMGN1, LIMK1, P53, PRKCE, TNFAIP3, TSC2
CSNK2A2	ATF1, CSNK2B, FGF1, PIN1, RELA
NFKB2	BCL3, MAP3K8, NFKB1, NFKBIE, RELA, RELB, REL, TSC22D3
GSTP1	MAPK8
PTPN6	LYN, CD22, SHP-1, CD117, CD22, CD31, CTNND1, FCRL3, LAIR1, LILRB2, LILRB4, PRKCD, PTK2B
GJB2	GJA1, GJB1
CX26	GJB2
HPK1	MAP4K1
ORAI1	STIM1
AUTSX3	MECP2
MRX16	MECP2
MRX79	MECP2
PPMX	MECP2
IL-1A	IL1A
IL1	IL-1
IL1-ALPHA	IL1A
IL1F1	IL1A
PAKalpha	PAK1
POLR2	POLR2A
POLRA	POLR2A
RPB1	POLR2A
RPBh1	POLR2A
RPO2	POLR2A
RPOL2	POLR2A
RpIILS	POLR2A
FRAP1	MTOR
FRAP2	MTOR
RAFT1	MTOR
RAPT1	MTOR
MMP3	MMP-7, MMP-9
MMP-3	MMP3
WT1	EGR1, EGR2, TET2, IDH1, IDH2, U2AF2, PAWR, UBE2I
IPO-B	SOD2
MNSOD	SOD2
Mn-SOD	SOD2
STMY	MMP3
STMY1	MMP3
CHEK1	CHEK2
FHIT	UBE2I
TOP2A	HDAC1, CDC5L, P53
PPARGC1A	PPARG, CREB, NRF1, CREB, SIRT1, FBXW7, MED1, MED12, MED14, MED17, NRF1, SIRT3, PPARGC1B
CD247	ZAP70
WIT-2	WT1
WT33	WT1
TIMP2	Protease, MMP14, MMP2, TIMP1, TIMP3, TIMP4
TRAP3	TRAF2
ETS1	TTRAP, UBE2I, PARP1, MUTYH, BARD1, ERCC1, XPA, DNA-PKcs
GJB1	GJB2
XPO1	MAPKAPK2, CDKN1B, CIITA, NMD3, RANBP1, RANBP3, SMARCB1
HMGB1	TLR4, P53, NFkappaB, TLR2, TLR4
SKP2	CDKN1B, CKS1B, CKS1B, CDKN1A, CDKN1B, CKS1B, CUL1, E2F1
TCF3	CBFA2T3, ELK3, EP300, LDB1, LMX1A, LYL1, MAPKAPK3, PCAF, TAL1, UBE2I
DNA-PKcs	C1D, CDC5L, CHEK1, CHUK, CIB1, DCLRE1C, ILF2, ILF3, NCOA6, P53, RPA2
DNAPK	DNA-PKcs
DNPK1	DNA-PKcs
HYRC	DNA-PKcs
HYRC1	DNA-PKcs
XRCC7	DNA-PKcs
EEC3	TP63
SHFM4	TP63
CEBPB	CEBPA, CEBPD, CEBPG, CREB1, CRSP3, EP300, HMGA1, HSF1, RELA, SMARCA2, TRIM28
NF-IL6	CEBPB
TCF5	CEBPB
BCL6	BCL2, BCL3, BCL9, BCL10, PRDM1, Bcl-2, HDAC1, HDAC4, IRF4, ZBTB7A, TBX21
DLG4	DLG2, DLG2, DLG1, DLG3, ADAM22, CACNG2, CASK, DLG3, DLGAP1, DLGAP2, DYNLL1, DYNLL2, ERBB4, EXOC4, FYN, FZD7, GRIK1, GRIK2, GRIK5, GRIN2A, GRIN2B, GRIN2C, KCNA2, KCNA4, KCNA5, KCNJ12, LGI1, LRP1, LRP2, NLGN1, NOS1, PTK2B, SEMA4C, SHANK2
KPNB1	KPNA3, NUP153, NUP50, NUP98, P53, RANBP1, RANBP2, SMN1
SMARCA4	SMARCA2, helicase, ATPase, BRCA1, CD44, HMOX1, ACTL6A, ARID1A, ARID1B, BRCA1, FANCA, HSP90B1, ING1, P53, POLR2A, SIN3A, SMARCB1, SMARCC1, SMARCC2, SMARCE1, STAT2, STK11
ROCK1	RRAD, PPP1R12A, VEGF, cofilin, DAPK3, LIMK1, LIMK2, MYL9, PFN1, PPP1R12A, FHOD1, LIMK1, MLC1, PPP1R12A, PFN2, RHOA, KRAS
RASSF1	CNKSR1, HRAS, MAP1B, MAP1S, RASSF5
CHUK	IKK2, IKBKG, FOXO1, IKBKE, AKT1, AKT2, FANCA, IKBKG, IKK2, IRAK1, MAP3K14, MAP3K7, MAP3K8, PPM1B, DNA-PKcs, TRAF2
HDAC3	CBFA2T3, GATA1, GATA2, GTF2I, HDAC4, HDAC9, MAP3K7IP2, MAPK11, RBBP4, RELA, RUNX2, SUV39H1, TBL1X, YY1, ZBTB33
VEGFR1	PLCG1
CREB1	CREB, CREB
SISd	CCL5
SCYA5	CCL5
TCP228	CCL5
HNF1	HNF1A
HNF1A	homeobox, GLUT1, GLUT2, EP300, PCAF, PCBD1, RAC3, HNF4A
LFB1	HNF1A
MODY3	HNF1A
PRKCE	RACK1, C3orf58, SDC4, ACTC1, ACTC1, TNNT2, TPM1, MYL7, TNNT2, TPM1, MYL7, TNNI3, TNNT2, TNNC1, TNNI3, TNNI3, TOMM20, VDAC1, ANT1, HK2, JNK, ANT1, TNNI3, TNNT2, MYBPC3, PTK2, PTK2, CAPZB, TNNI3, ALDH2, ALDH2, TNNI3, MYBPC3, MYH7, MYL2, CAPZB, CAPZB, CAPZB, COPB2, GNB2L1, MYH9, VDAC1, YWHAZ
PKCE	PRKCE
PDGFRB	PDGFRA, FIP1L1, ETV6, STAT5, TPM3, PDE4DIP, SPTBN1, GOLGA4, HIP1, ANKRD15, CCDC6, ETV6, ERC1, GIT2, TRIP11, TP53BP1, NDE1, SPECC1, NDEL1, MYO18A, COL1A1, CPSF6, RABEP1, M-RIP, SPTBN1, DIAPH1, TNIP1, SART3, NCK1, NCK2, PTPN11, SHC1
MT-RNR1	MT-RNR2
CD140B	PDGFRB
JTK12	PDGFRB
PDGFR1	PDGFRB
LFS2	CHEK2
RAD53	CHEK2
MAPKK1	MAP2K1
MEK1	MAP2K1
MKK1	MAP2K1
PRKMK1	MAP2K1
HLA-JY3	HLA-C
HLC-C	HLA-C
PSORS1	HLA-C
IL18	IL-18
IGFBP3	IGFBP1, IGFBP6, IGFBP7, IGFALS, IGF1R, IGFBP1, LRP1, TMEM219, IGF1R, ADAM12, ADAM28, GRP78, DNA-PKcs, LTBP1
CELIAC1	HLA-DQB1
IDDM1	HLA-DQB1
HIRS-1	IRS1
TP73	P73
Raf-1	c-Raf
ABCA1	FADD, SNTB2
C-K-RAS	KRAS
RASK2	KRAS
MUC1	mucin, CTNND1, GRB2, SOS1, p21, Bcl-2, PI3K, LYN, PRKCD, GSK3B
CD227	MUC1
MAM6	MUC1
PEMT	mucin
ACUG	NOD2
IBD1	NOD2
PARP1	ETS1, BRCA1, BRCA2, ETS1, MYBL2, RELA, P53, POLA2, XRCC1, ZNF423
ADPRT1	PARP1
PARP-1	PARP1
HCK	ADAM15, ELMO1, RAPGEF1, RASA3
UBE2I	UBA2, SENP1, BLMH, DACH1, DNMT3A, DNMT3B, ETS1, FHIT, IPO13, MAP3K1, P53, PIAS1, RAD51, RANBP2, RANGAP1, SAE2, SALL1, TCF3, TNFRSF1A, TOP1, WT1
PLCG1	RASGRP1, PTPRM, CISH, STAT5, BAG3, CD117, CD31, CISH, FLT1, GAB1, GIT1, IRS2, KHDRBS1, PDGFRA, PLD2, RHOA, SOS1, VAV1
PLC-II	PLCG1
PLC1	PLCG1
IL13	IL-13
AML1	RUNX1
CBFA2	RUNX1
TIMP1	TIMP2, TIMP3, TIMP4
HSP70-1	HSPA1A
HSP72	HSPA1A
HSPA1	HSPA1A
HSP70-2	HSPA1A
CD40LG	CD154
T-BAM	CD154
TNFSF5	CD154
MMP-X1	MMP14
MT1-MMP	MMP14
MTMMP1	MMP14
KCIP-1	YWHAZ
NPM1	SENP3, SENP5, AKT1, BARD1, BRCA1
B23	NPM1
ERBB3	PI3K
STX1A	CPLX1, RNF40, SCNN1G, SLC6A1, SNAP-25, SNAP23, STXBP1, STXBP5, SYT1, UNC13B, VAMP2
SOCS3	SOCS, PTPN11, SOCS
TSG101	EP300, LRSAM1, P21, P53, VPS28
Tp44	CD28
PLK1	CHEK2, NUDC, PIN1, PSMA3, PSMA5, PSMA6, PSMA7, PSMB3, TSC1
STPK13	PLK1
LYT-10	NFKB2
LYT10	NFKB2
CX43	GJA1
GJAL	GJA1
GP180	PTPRC
LY5	PTPRC
APEX1	MUTYH, XRCC1
TSC2	TSC1, TSC1, MAPK3, AKT1, AXIN1, FOXO1, GSK3B, MAPK1, PTK2, RAP1A, RHEB, RPS6KA1, UBE3A, YWHAZ
CAMK2A	CDK5R1, DLG1
HBG2	HBG1, HBE1, HBG1, HBD, HBB
SIN3A	CABIN1, HBP1, HDAC1, HDAC9, IKZF1, ING1, KLF11, MXD1, PHF12, RBBP4, RBBP7, SAP130, SAP30, SMARCA2, SMARCA4, SMARCC1, SUDS3, TAL1
ARF1	COPB1, GGA3, PLD2
ERBB4	DLG4, NRG1, STAT5A, YAP1
PPP2CA	Bcl-2, CCNG2, CTTNBP2NL, CTTNBP2, FAM40A, IGBP1, MOBKL3, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R3B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, STRN3, STRN, TLX1, PPP2CB
MAP2K2	MAPK1, MAPK3, MAPK3, ARAF
MAP3K7	ASK1, CHUK, MAP2K6, MAP3K7IP1, MAP3K7IP2, MAP3K7IP3, PPM1B, TRAF6
TAP1	HLA-A
AKT2	APPL1, CHUK, SH3RF1, TCL1A
IRS2	IRAK1, PLCG1, PIK3R1
CDH2	GJA1, KCNA5, KCNE2, CTTN, CDH11, CTNND1, LRRC7, PTPRM, PTPRT, XIRP1, SCARB2
ND1	MT-ND1
POLR2C	POLR2J, ATF4, CCHCR1, POLR2A, POLR2B, POLR2E, POLR2F, POLR2G, POLR2H, POLR2J, POLR2K, POLR2L, TAF15
POLR2E	TAF15, POLR2C, POLR2G, POLR2H, POLR2A, POLR2B, POLR2L, GTF2F2
SGK	SGK1, SGK2, SGK3, SGK1, SGK1, SLC5A3
HMGA1	CEBPB
HNRNPA1	BAT2
HSF1	Hsp90, CEBPB, HSF2, HSPA1A, HSPA4, NCOA6, RALBP1, SYMPK
POLR2B	POLR2C, POLR2E, POLR2H, POLR2L
RELB	NFKB2, NFKB1, C22orf25
MAP2K4	MAPK8, MAPK8IP3, AKT1
KHDRBS1	CD44, NRXN1, c-Met
CRKL	DAB1, BCAR1, CD117, CD34, GAB1, GAB2, INPP5D, MAP4K1, MAP4K5, NEDD9, PIK3R2, RAPGEF1, STAT5A
DLG1	myosin, GKAP
POU2F1	EPRS, MNAT1, POU2AF1, RELA, SNAPC4
NFE2L2	NFE2, NFE2L1, NFE2L3, KEAP1, MAFG, MAFK, GCLM, SRXN1, TXNRD1, HMOX1, ABCC2, MAFG, MAFK, CREB, MAFG, MAFK, EIF2AK3, KEAP1
POLR2G	TAF15, POLR2C, POLR2H, POLR2E
POLR2H	POLR2C, POLR2G, POLR2A, POLR2B, POLR2E
TNNT2	TNNI3, TNNC1, ACTC1, TPM1, TNNI3, TNNC1, TPM1, ACTC1, TPM1, ACTC1, MYH7, MYH7
NFATC2	LCN2, MEF2D, EP300, IRF4
P2RX7	IL1B, CXCL2, CCL3, P2RX4
POLR2F	POLR2C
POLR2L	POLR2C, POLR2A, POLR2B, POLR2E
ELK1	BDNF, SUMO3, BRCA1
POLR2J	POLR2C, SATB1
PARK7	peptidase, CASK, EFCAB6
POLR2K	POLR2C
YWHAH	CDC25B, EPB41L3, KIF5B, KLC3, RIMS1, RIMS2, TLX2, TNFAIP3, ZFP36
AXIN1	BRCA1, CSNK1E, DVL1, GSK3B, LRP5, MAP3K1, PPP2R5A, TSC2
CDX2	homeobox, EP300, PAX6
INP10	CXCL10
SCYB10	CXCL10
P450-DB1	CYP2D6
CYP2DL1	CYP2D6
FKBP1A	GLMN, ITPR1, RYR1
HNRPK	DDX1, HNRNPL, KHDRBS1, PCBP2, PRMT1, PTBP1
ITPR1	AHCYL1, CA8, EPB41L1, FKBP1A, MRVI1, PRKG1, RHOA, TRPC4
OLR1	TLR4, CD36
PPP1CA	AKAP11, BCL2L2, BRCA1, CDC5L, LMTK2, PHACTR3, PPP1R15A, PPP1R8, PPP1R9B, SMARCB1
SFRS2	CDC5L
CDC25A	CDK4, p21, p21, ASK1, CHEK1, PIM1, YWHAB
NFATC1	PIM1
RAP1A	MLLT4, PDE6D, RALGDS, RAPGEF2, TSC2
EIF4EBP1	EIF4E
MT-ND6	NDUFS3, YME1L1
PDE4D	GNB2L1
GLB1	NEU1, MMP1
NUP98	KPNB1, NUP88, RAE1, TNPO2
TPM1	TPM2, TPM3, TPM2, ACTC1, MYH7, MYH7, ACTC1, MYH7, MYH7, ACTC1, MYH7, TNNT2, ACTC1
CCR1	CCL3, CCL5, CCL7, CCL23, CCR2, CCRL2, CCR5, CXCR1, CCL5
KPNA3	KPNB1
MT-ND4	MT-ND4L, MT-ND5, MT-ATP8, ZNF16, CTCF, GRB2
BAG1	HSPA8, PPP1R15A, SIAH1
FOXO3	FOXO1, FOXO4, FOXO6, BCL2L11, CFLAR
RBBP4	CREB1, BRCA1, GATAD2B, HDAC1, HDAC3, MTA2, SAP30, SIN3A
TRAF1	BIRC2, CFLAR, HIVEP3, RANK, TNFAIP3, TRAF2, RNF31, RBCK1, SHARPIN
HDAC4	MEF2C, MEF2D, BCL6, BTG2, GATA1, HDAC3, MAPK1, MAPK3, MEF2C, YWHAB, YWHAE
APOA2	PLTP
BARD1	BRCA1, BRCA1, BCL3, BRCA1, BRCA2, BRCC3, CSTF1, CSTF2, FANCD2, H2AFX, NPM1, P53, RAD51, TACC1, UBE2D1
DCTN1	BBS4, RAB6A
MT-ND2	MT-ATP6, MT-TL1, MT-TK, MT-TW, MT-ND1, MT-ND3, MT-ND4, MT-ND5, MT-ND6, MT-CO3, MT-ND1, MT-ND4L
PLD2	ARF1, BIN1, PLCG1, PRKCD
UCP3	UCP2, YWHAQ
ALOX15	ALOX15B, ALOX15B, GPR31, ALOX5, TRPV1, GPR132
BIN1	MYC, SNX4, PLD2
APOA4	APOA1, APOC3, GPLD1
CYR61	CTGF, WISP1, WISP2, WISP3, mir-155, FOXA2, TRAIL
MT-ND4L	MT-ND4, MT-ND1, MT-ND2, MT-ND1, MT-ND2, MT-ND4, MT-ND5, MT-ND6
MAPKAPK2	AKT1, MAPK14, PHC2, SHC1, RIPK1
GAB1	CRKL, MAP3K3, PIK3R1, PLCG1, PTPN11
GATA4	NKX2-5, HAND2, HDAC2
GPX1	GPX4, SBP2
ID2	NEDD9
EZH2	SUZ12, JARID2, AEBP2, RBBP4, PHF1, SUZ12, PRC1, DNMT, HOXA9, HOXC8, MYT1, SUZ12, EZH1, BRG1, EZH1
IL12A	STAT4
ADH1B	ADH1A, ADH1C, ADH4, ADH5, ADH6, ADH7
H3F3A	HIST1H3B, HIST1H3C, H3.1, H3F3B
MCM7	CDC6, DBF4, MCM2, MCM3, MCM4, MCM5, MCM6, MNAT1, ORC2L, UBE3A
NEDD4	NEDD4L, SMURF1, SMURF2, WWP1, WWP2, HECW1, HECW2
RAB5A	RAB7A, RABEP1, SDCBP, ZFYVE20
LRP2	LDLR, DAB2, DLG4, GIPC1, ITGB1BP1, LDLRAP1, MAGI1, MAPK8IP1, MAPK8IP2, NOS1AP, SYNJ2BP
U2AF2	U2AF1, PUF60, SFRS11, SFRS2IP, SRPK2, WT1
BMI1	CDKN2D, PHC1, PHC2, RING1
EPS15	EPN1, REPS2
KPNA4	RECQL, STAT3
MAPK7	MAP2K5, MEK5, MAP2K5, MEF2C, MEF2D, PTPRR, SGK, YWHAB
PSMA3	PSMB1, PSMB2, PSMB5, ALS, c-Jun, c-Myc, STAT3, p21, CRYAB, PLK1, PSMA6
SIAH1	BAG1, CACYBP, KHDRBS3, KIF22, PEG10, PEG3, POU2AF1, RBBP8, TRIB3
TERF2	TERF1, TERF1, SLX4, XRCC3, TINF2, P53, TERF2IP, ERK1, ERK2, TERT, BRCA1
ALK4	ACVR1B
ALOX12	ALOX15, ALOX15, ALOX12B, ALOXE3, MMP9, LMNA
CDC20	ANAPC7, BUB1B, CDC16, CDC27, FBXO5, HDAC1, MAD2L1
MCM2	AKAP8, MCM3, MCM4, MCM5, MCM6, MCM7, ORC2L
MT-ATP8	MT-ATP6, ATP5H, ATP5I, ATP5J2, ATP5L, MT-ATP6, MT-ATP6
PSMC3	PSMC2, PSMC1, PSMC4, PSMC6, PSMC5, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC2, PSMC4, PSMC5, ADRM1, ADRM1, PSMD4, PSMC5
TOP2B	BAZ1B, HDAC1, P53
RAB7A	SOX10, SOX10, SOX10, RAC1, C9orf72, PSMA7, RNF115, FYCO1, OSBPL1A, CLN3
EM9	ERCC2
FLK2	CD135
CTLA1	GZMB
CGL-1	GZMB
CGL1	GZMB
AURA17	LRRK2
PTPN1	TYK2, BCAR1, DOK1, BCAR1, IRS1, HER2, HER2
PTP1B	PTPN1
CCD1	RUNX2
AML3	RUNX2
MYBL2	CDK9, EP300, PARP1
RAD9A	Bcl-2, DNAJC7, HDAC1, HUS1, RAD17, TOPBP1
CUL1	SKP1, RBX1, RBX1, SKP1, SKP2, RNF7, TIP120A, CAND1, RBX1, COPS2
PRMT1	BTG1, BTG2, DHX9, HNRNPR, HNRPK, IFNAR1, ILF3, KHDRBS1, SUPT5H
GGA1	BACE2, RABEP1, ARF3
RUNX3	TLE1, RUNX1, RUNX2
DUSP1	MAPK14, MAPK1, MAPK8
PDX1	NKX6-1, MNX1, PTF1A, NKX6-1
PDGFA	homodimer
RANBP2	XPO1, UBE2I, SUMO1, KPNB1, UBE2I
CALCRL	RAMP1, CGRP, RAMP2, RAMP3
CAPN2	Bcl-2
CDC25B	MAPK14, CHEK1, MELK, YWHAB, YWHAZ, YWHAH, YWHAE
GABBR1	ATF4, GABBR2
HNRNPA2B1	HNRNPA1
SH3KBP1	SH3GLB2, SH3GL3, SH3GL2, BCAR1, SOS1, PAK2
AP2M1	CTLA-4
PAX2	WT1, PAXIP1
PMS2	MLH1, MSH2, MLH1, p73, p21, ERCC1, ERCC1, ERCC4, MLH1, ERCC1, ERCC1, ERCC4
CYB5R3	CYB5A, ENO1, SUMO2
DOK1	CD117, INPP5D, LYN, SH2D1A, SHC1
HOXA9	homeobox, HOXA7, NUP98, proteins, MEIS1, PBX2, TRIP6, WHSC1, MEN1, MEN1, CD135, LMO2, FCGR2B
ICAM3	LFA-1
JUNB	BRCA1
MCM3	CDC6, DBF4, MCM2, MCM3AP, MCM5, MCM7
MNAT1	MCM7, MTA1, P53, POU2F1
NEDD8	APPBP1, APPBP1, DDB2, NUB1, UBE1C, UBE2M, UCHL3
PIK3R2	CRKL, FYN
TP53BP1	BRCA1, DYNLL1
MAT1	MNAT1
ERCC1	ERCC4, ERCC4, MUS81, EME1, MSH2, XRCC1, HMGA2, HMGA2
FLI1	EWSR1, ETV6
NEUROD1	MAP3K10
MAP2K6	TAOK2, ASK1, MAPK14, MAP3K7
PABPC1	ANAPC5, CNOT7, EIF4G3, GSPT2, PAIP1, PAIP2
RACGAP1	RAC1, SLC26A8, KIF23, PRC1
FADS2	D6D, FADS1
TGFB1I1	PTK2B, PTK2, PTPN12
NOD1	NOD2, RIPK2
KCNH2	HERG
ERG1	HERG
ATF3	CREB, P53, MMP2
HERG1	HERG
Kv11.1	HERG
SQT1	HERG
IKBKB	IKK2
IKK-beta	IKK2
IKKB	IKK2
NFKBIKB	IKK2
MEF2C	EP300, HDAC4, HDAC7, HDAC9, MAPK7, SOX18, TEAD1, MIRN21, CXCR5
LRP1	LDLR, PDGFRB, PLAU, JNK, PAI-1, APBB1, C1S, CD44, CTGF, DLG4, GIPC1, hsp70, ITGB1BP1, MAPK8IP1, MAPK8IP2, MMP13, MMP2, MMP9, NOS1AP, PAI-1, SHC1, SYNJ2BP, TIMP1, TIMP2, TIMP3
A2MR	LRP1
APOER	LRP1
CD91	LRP1
TGFBR5	LRP1
TRAF5	ASK1, CD134, CD30, RANK, TNFRSF13B, TNFRSF14
IL15	IL-15
MLLT4	EPHB3, HRAS, LMO2, PVRL1, PVRL3, RAP1A, RAP1GAP, SORBS1, SSX2IP, USP9X
FLNA	BRCA2, CD29, FBLIM1, FILIP1, FLNB, NPHP1, RALA, SH2B3, RAC1
NRF1	NFE2L1, TFAM, TFB1M, TFB2M, DYNLL1, PPARGC1A, PPRC1
STAT5A	STAT5B, STAT5B, CRKL, ERBB4, MAPK1, PTPN11, STAT5
MAP2K3	TAOK2, PLCB2
HIPK2	HIPK1, HIPK3, homeobox, CTBP1, PIN1, HMGA1, TP53, TP53INP1, PIN1, HMGA1, SIAH1, WSB1, CTBP1
PTK2B	GRB2, BCAR1, DDEF2, DLG3, DLG4, FYN, GRIN2A, NPHP1, PITPNM1, PTPN11, PTPN6, RB1CC1, SORBS2, TGFB1I1
CADTK	PTK2B
CAKB	PTK2B
FADK2	PTK2B
FAK2	PTK2B
PYK2	PTK2B
RAFTK	PTK2B
MRX	ABCG2
BCRP1	ABCG2
ABCP	ABCG2
MXR1	ABCG2
CFLAR	CASP8, FADD, FLICE
CASP8AP1	CFLAR
CLARP	CFLAR
FLAME-1	CFLAR
I-FLICE	CFLAR
MRIT	CFLAR
HRX	KMT2A
MMP-7	MMP7
BIRC4	XIAP
P450C17	CYP17A1
S17AH	CYP17A1
CRM1	XPO1
TOP1	NDRG1, BTBD1, BTBD2, P53, UBE2I
TOPI	TOP1
SMN1	SMN2
BCD541	SMN1
SMNT	SMN1
S1PR1	GPCR, ERK1, ERK2, MMP1, GNAI1, GNAI3
YWHAG	RAF1, EPB41L3, KIF1C
TRIM28	CEBPB, SETDB1, ZNF10
SPRY2	SPRY1
PINK1	PARL
BUB1	MAD2, BUB1B, BUB3, RPS27, CDC20, PLK1, SGOL1, PP2A, INCENP, CENPF, KIF2C, p73
